path,folder_path,size_gb,parsed_title,parsed_year,imdb_id,title,year,imdb_rating,imdb_votes,genre,runtime,verdict,reason
\\TOWER\rootshare\Movies\The Jungle Book (1967)\The Jungle Book (1967) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Jungle Book (1967),0.8,The Jungle Book,1967,tt0061852,The Jungle Book,1967,7.6,211042,"Animation, Adventure, Comedy",78,KEEP,ok
\\TOWER\rootshare\Movies\The Lego Batman Movie (2017)\The Lego Batman Movie (2017) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Lego Batman Movie (2017),4.15,The Lego Batman Movie,2017,tt4116284,The Lego Batman Movie,2017,7.3,189180,"Animation, Action, Adventure",104,KEEP,ok
\\TOWER\rootshare\Movies\The Lego Batman Movie (2017)\The Lego Batman Movie (2017) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Lego Batman Movie (2017),1.62,The Lego Batman Movie,2017,tt4116284,The Lego Batman Movie,2017,7.3,189180,"Animation, Action, Adventure",104,KEEP,ok
\\TOWER\rootshare\Movies\The Lego Movie (2014)\The Lego Movie (2014) Bluray-2160p.mkv,\\TOWER\rootshare\Movies\The Lego Movie (2014),6.75,The Lego Movie,2014,tt1490017,The Lego Movie,2014,7.7,411857,"Animation, Action, Adventure",100,KEEP,ok
\\TOWER\rootshare\Movies\The Lion King (1994)\The Lion King (1994) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Lion King (1994),5.83,The Lion King,1994,tt0110357,The Lion King,1994,8.5,1240876,"Animation, Adventure, Drama",88,KEEP,ok
\\TOWER\rootshare\Movies\The Little Mermaid (1989)\The Little Mermaid (1989) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Little Mermaid (1989),3.57,The Little Mermaid,1989,tt0097757,The Little Mermaid,1989,7.6,308224,"Animation, Adventure, Family",83,KEEP,ok
\\TOWER\rootshare\Movies\The Lobster (2015)\The Lobster (2015) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Lobster (2015),4.76,The Lobster,2015,tt3464902,The Lobster,2015,7.1,329423,"Drama, Romance, Sci-Fi",119,KEEP,ok
\\TOWER\rootshare\Movies\The Lord of the Rings The Fellowship of the Ring (2001)\The Lord of the Rings The Fellowship of the Ring (2001) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Lord of the Rings The Fellowship of the Ring (2001),11.07,The Lord of the Rings The Fellowship of the Ring,2001,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2190837,"Adventure, Drama, Fantasy",178,KEEP,ok
\\TOWER\rootshare\Movies\The Lord of the Rings The Return of the King (2003)\The Lord of the Rings The Return of the King (2003) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Lord of the Rings The Return of the King (2003),4.67,The Lord of the Rings The Return of the King,2003,tt0167260,The Lord of the Rings: The Return of the King,2003,9.0,2142025,"Adventure, Drama, Fantasy",201,KEEP,ok
\\TOWER\rootshare\Movies\The Lord of the Rings The Two Towers (2002)\The Lord of the Rings The Two Towers (2002) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Lord of the Rings The Two Towers (2002),2.44,The Lord of the Rings The Two Towers,2002,tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,1924755,"Adventure, Drama, Fantasy",179,KEEP,ok
